,caseID,eoff,acc,crash
286,1,1.7,-4.8,1
287,1,1.8,-4.8,1
288,1,1.9,-4.8,1
289,1,2,-4.8,1
290,1,2.1,-4.8,1
291,1,2.2,-4.8,1
292,1,2.3,-4.8,1
293,1,2.4,-4.8,1
294,1,2.5,-4.8,1
295,1,2.6,-4.8,1
296,1,2.7,-4.8,1
297,1,2.8,-4.8,1
298,1,2.9,-4.8,1
299,1,3,-4.8,1
300,1,3.1,-4.8,1
301,1,3.2,-4.8,1
302,1,3.3,-4.8,1
303,1,3.4,-4.8,1
304,1,3.5,-4.8,1
305,1,3.6,-4.8,1
306,1,3.7,-4.8,1
307,1,3.8,-4.8,1
308,1,3.9,-4.8,1
309,1,4,-4.8,1
310,1,4.1,-4.8,1
311,1,4.2,-4.8,1
312,1,4.3,-4.8,1
313,1,4.4,-4.8,1
314,1,4.5,-4.8,1
315,1,4.6,-4.8,1
316,1,4.7,-4.8,1
317,1,4.8,-4.8,1
318,1,4.9,-4.8,1
319,1,5,-4.8,1
320,1,5.1,-4.8,1
321,1,5.2,-4.8,1
322,1,5.3,-4.8,1
323,1,5.4,-4.8,1
324,1,5.5,-4.8,1
325,1,5.6,-4.8,1
326,1,5.7,-4.8,1
327,1,5.8,-4.8,1
328,1,5.9,-4.8,1
329,1,6,-4.8,1
330,1,6.1,-4.8,1
331,1,6.2,-4.8,1
332,1,6.3,-4.8,1
333,1,6.4,-4.8,1
334,1,6.5,-4.8,1
335,1,6.6,-4.8,1
336,1,0,-5.3,0
337,1,0.1,-5.3,0
338,1,0.2,-5.3,0
339,1,0.3,-5.3,0
340,1,0.4,-5.3,0
341,1,0.5,-5.3,1
342,1,0.6,-5.3,1
343,1,0.7,-5.3,1
344,1,0.8,-5.3,1
345,1,0.9,-5.3,1
346,1,1,-5.3,1
347,1,1.1,-5.3,1
348,1,1.2,-5.3,1
349,1,1.3,-5.3,1
350,1,1.4,-5.3,1
351,1,1.5,-5.3,1
352,1,1.6,-5.3,1
353,1,1.7,-5.3,1
354,1,1.8,-5.3,1
355,1,1.9,-5.3,1
356,1,2,-5.3,1
357,1,2.1,-5.3,1
358,1,2.2,-5.3,1
359,1,2.3,-5.3,1
360,1,2.4,-5.3,1
361,1,2.5,-5.3,1
362,1,2.6,-5.3,1
363,1,2.7,-5.3,1
364,1,2.8,-5.3,1
365,1,2.9,-5.3,1
366,1,3,-5.3,1
367,1,3.1,-5.3,1
368,1,3.2,-5.3,1
369,1,3.3,-5.3,1
370,1,3.4,-5.3,1
371,1,3.5,-5.3,1
372,1,3.6,-5.3,1
373,1,3.7,-5.3,1
374,1,3.8,-5.3,1
375,1,3.9,-5.3,1
376,1,4,-5.3,1
377,1,4.1,-5.3,1
378,1,4.2,-5.3,1
379,1,4.3,-5.3,1
380,1,4.4,-5.3,1
381,1,4.5,-5.3,1
382,1,4.6,-5.3,1
383,1,4.7,-5.3,1
384,1,4.8,-5.3,1
385,1,4.9,-5.3,1
386,1,5,-5.3,1
387,1,5.1,-5.3,1
388,1,5.2,-5.3,1
389,1,5.3,-5.3,1
390,1,5.4,-5.3,1
391,1,5.5,-5.3,1
392,1,5.6,-5.3,1
393,1,5.7,-5.3,1
394,1,5.8,-5.3,1
395,1,5.9,-5.3,1
396,1,6,-5.3,1
397,1,6.1,-5.3,1
398,1,6.2,-5.3,1
399,1,6.3,-5.3,1
400,1,6.4,-5.3,1
401,1,6.5,-5.3,1
402,1,6.6,-5.3,1
403,1,0,-5.8,0
404,1,0.1,-5.8,0
405,1,0.2,-5.8,0
406,1,0.3,-5.8,0
407,1,0.4,-5.8,0
408,1,0.5,-5.8,0
409,1,0.6,-5.8,0
410,1,0.7,-5.8,1
411,1,0.8,-5.8,1
412,1,0.9,-5.8,1
413,1,1,-5.8,1
414,1,1.1,-5.8,1
415,1,1.2,-5.8,1
416,1,1.3,-5.8,1
417,1,1.4,-5.8,1
418,1,1.5,-5.8,1
419,1,1.6,-5.8,1
420,1,1.7,-5.8,1
421,1,1.8,-5.8,1
422,1,1.9,-5.8,1
423,1,2,-5.8,1
424,1,2.1,-5.8,1
425,1,2.2,-5.8,1
426,1,2.3,-5.8,1
427,1,2.4,-5.8,1
428,1,2.5,-5.8,1
429,1,2.6,-5.8,1
430,1,2.7,-5.8,1
431,1,2.8,-5.8,1
432,1,2.9,-5.8,1
433,1,3,-5.8,1
434,1,3.1,-5.8,1
435,1,3.2,-5.8,1
436,1,3.3,-5.8,1
437,1,3.4,-5.8,1
438,1,3.5,-5.8,1
439,1,3.6,-5.8,1
440,1,3.7,-5.8,1
441,1,3.8,-5.8,1
442,1,3.9,-5.8,1
443,1,4,-5.8,1
444,1,4.1,-5.8,1
445,1,4.2,-5.8,1
446,1,4.3,-5.8,1
447,1,4.4,-5.8,1
448,1,4.5,-5.8,1
449,1,4.6,-5.8,1
450,1,4.7,-5.8,1
451,1,4.8,-5.8,1
452,1,4.9,-5.8,1
453,1,5,-5.8,1
454,1,5.1,-5.8,1
455,1,5.2,-5.8,1
456,1,5.3,-5.8,1
457,1,5.4,-5.8,1
458,1,5.5,-5.8,1
459,1,5.6,-5.8,1
460,1,5.7,-5.8,1
461,1,5.8,-5.8,1
462,1,5.9,-5.8,1
463,1,6,-5.8,1
464,1,6.1,-5.8,1
465,1,6.2,-5.8,1
466,1,6.3,-5.8,1
467,1,6.4,-5.8,1
468,1,6.5,-5.8,1
469,1,6.6,-5.8,1
470,1,0,-6.3,0
471,1,0.1,-6.3,0
472,1,0.2,-6.3,0
473,1,0.3,-6.3,0
